icao,name,lat,lon,runways,ils
EPWR,"Strachowice",51.103882,16.881892,1,1
ESCF,"Linkoping Malmen",58.3993985,15.52670975,2,1
ESDF,"Ronneby",56.2646225,15.2634285,2,1
ESGG,"Goteborg Landvetter",57.66283645,12.27981861,1,2
ESGJ,"Jonkoping",57.7550465,14.0711015,2,1
ESGL,"Lidkoping",58.465522,13.174415,1,1
ESGP,"Goteborg Save",57.776839,11.8739175,2,1
ESGR,"Skovde",58.4563795,13.972632,1,1
ESGT,"Trollhattan Vanersborg",58.3178615,12.344758,1,1
ESIB,"Satenas",58.42908475,12.710643,2,1
ESKM,"Mora",60.957907,14.511383,1,1
ESKN,"Stockholm Skavsta",58.79043925,16.90732775,2,1
ESMK,"Kristianstad",55.9216865,14.085535,1,1
ESMO,"Oskarshamn",57.3488375,16.497707,1,1
ESMQ,"Kalmar",56.68564575,16.2830585,2,1
ESMS,"Malmo Sturup",55.5288835,13.371109,2,2
ESMT,"Halmstad",56.6910975,12.8202025,1,1
ESMX,"Vaxjo Kronoberg",56.9291445,14.727993,1,1
ESNG,"Gallivare",67.132407,20.8146345,1,1
ESNK,"Kramfors Solleftea",63.048597,17.7688545,1,1
ESNL,"Lycksele",64.5495695,18.7140265,1,1
ESNN,"Sundsvall Harnosand/midlanda",62.52081125,17.44125,2,2
ESNO,"Ornskoldsvik",63.4092475,18.9882485,1,1
ESNQ,"Kiruna",67.8219845,20.3367625,1,1
ESNS,"Skelleftea",64.624772,21.0768665,1,1
ESNU,"Umea",63.790814,20.284786,1,2
ESNV,"Vilhelmina",64.579082,16.833575,1,1
ESNX,"Arvidsjaur",65.59962125,19.24779675,2,2
ESNY,"Soderhamn",61.261082,17.0978805,2,1
ESNZ,"Are Ostersund",63.194125,14.502004,1,1
ESOE,"Orebro",59.222418,15.037425,1,2
ESOH,"Hagfors",60.0200625,13.578907,1,1
ESOK,"Karlstad",59.4486255,13.33853625,2,2
ESOW,"Vasteras",59.589829,16.6338625,1,1
ESPA,"Lulea Kallax",65.543757,22.1219795,1,2
ESSA,"Stockholm Arlanda",59.6501396783333,17.9436279,3,5
ESSB,"Bromma",59.354389285,17.94160382,1,2
ESSD,"Borlange",60.4244215,15.50584125,2,1
ESSF,"Hultsfred",57.525749,15.8239475,1,1
ESSK,"Gavle",60.593133,16.9512225,1,1
ESSL,"Linkoping Saab",58.4062905,15.68024,1,2
ESSP,"Norrkoping Kungsangen",58.58748625,16.24560075,2,1
ESSU,"Eskilstuna",59.3510765,16.7083985,1,1
ESSV,"Visby",57.656405,18.3424485,2,1
ESTA,"Angelholm",56.29149195,12.85497654,1,1
ESTL,"Ljungbyhed",56.083992875,13.2117595,4,1
ESUD,"Storuman",64.960893,17.6966935,1,1
ESUP,"Pajala",67.2458335,23.0690265,1,1
ESUT,"Hemavan",65.805675,15.083265,1,1
ETAD,"Spangdahlem Ab",49.976542,6.6985085,1,2
ETAR,"Ramstein Ab",49.43569775,7.6004985,2,2
ETHN,"Niederstetten",49.3918335,9.9581665,1,1
ETMN,"Nordholz",53.7676655,8.658501,1,1
ETND,"Diepholz",52.585724935,8.34103475,1,1
ETNG,"Geilenkirchen",50.9608335,6.04175,1,1
ETNH,"Hohn",54.3121655,9.538168,1,1
ETNL,"Laage",53.9180835,12.27925,1,2
ETNU,"Neubrandenburg",53.602164,13.305997,1,1
ETNW,"Wunstorf",52.4549166666667,9.42802766666667,3,1
ETSA,"Landsberg Lech",48.0705,10.906,1,1
ETSH,"Holzdorf",51.7678335,13.167667,1,1
ETSI,"Ingolstadt Manching",48.71509475,11.53405925,2,1
EVRA,"Riga Intl",56.9236625,23.971193,1,2
EYKA,"Kaunas Intl",54.9638805,24.0840015,1,2
EYPA,"Palanga Intl",55.9731155,21.093811,1,1
EYSA,"Siauliai Intl",55.89289675,23.39381725,2,2
EYVI,"Vilnius Intl",54.634166495,25.28579609,1,2
F45,"North Palm Beach Co Gen Avn",26.846323,-80.220735,3,1
FACT,"Cape Town International",-33.970501,18.6044045,2,2
FADN,"Durban Intl",-29.970087,30.95052,1,2
FAEL,"East London",-33.0361595,27.8237425,2,2
FAGG,"George",-34.005531,22.378515,1,2
FAJS,"Johannesburg Or Thambo Intl",-26.1385425,28.246527,2,3
FAKN,"Kruger Mpumalanga Intl",-25.383099,31.105408,1,1
FALA,"Lanseria",-25.9400465,27.925358,2,1
FALW,"Langebaanweg",-32.9672995,18.16195875,4,1
FAMM,"Mafikeng",-25.798445,25.548109,1,1
FAPE,"Port Elizabeth",-33.9889413333333,25.6143353333333,3,2
FAWK,"Waterkloof Afb",-25.8281545,28.223936,2,1
FEFF,"Bangui M Poko",4.398474,18.5187845,1,1
FIMP,"Sir Seewoosagur Ramgoolam Intl",-20.4302345,57.6836015,1,1
FJDG,"Diego Garcia Nsf",-7.313268,72.41109,1,1
FKKD,"Douala",4.01420775,9.71653775,2,1
FMCH,"Prince Said Ibrahim",-11.5336625,43.2718485,1,1
FMEE,"St Denis Gillot",-20.8901003925,55.5173792375,4,1
FMMI,"Ivato",-18.79695,47.4788065,1,1
FMMT,"Toamasina",-18.1095165,49.392536,1,1
FNLU,"Luanda 4 De Fevereiro",-8.8583765,13.23117775,2,1
FOOL,"Leon M Ba",0.4586155,9.41225,1,1
FOON,"Mvengue",-1.6561555,13.4380375,1,1
FQBR,"Beira",-19.7973105,34.908847,3,1
FQMA,"Maputo",-25.91552925,32.57690075,2,1
FSIA,"Seychelles Intl",-4.674378,55.521829,1,1
FTTJ,"Ndjamena Hassan Djamous",12.133718,15.0339615,1,1
FVBU,"J M Nkomo Intl",-20.01520625,28.622707,2,1
FVFA,"Victoria Falls Intl",-18.0958805,25.8390045,1,1
FVHA,"Harare Intl",-17.931806,31.0928475,1,1
FXMM,"Moshoeshoe I Intl",-29.45897775,27.55317275,2,1
FYWH,"Windhoek Hosea Kutako Intl",-22.4818105,17.47156925,2,1
FZAA,"Ndjili Intl",-4.38575,15.4445695,1,1
FZQA,"Lubumbashi Intl",-11.5912665,27.5308845,1,1
GABS,"Bamako Senou",12.5335445,-7.949943,1,1
GCFV,"Fuerteventura",28.447882,-13.86489225,2,1
GCLP,"Gran Canaria",27.931544,-15.38559225,2,2
GCRR,"Lanzarote",28.945466,-13.6052235,1,1
GCTS,"Tenerife Sur",28.047541705,-16.56750855,2,2
GCXO,"Tenerife Norte - Los Rodeos",28.4835824042857,-16.3506714960714,14,2
GMAD,"Agadir Al Massira",30.3226235,-9.411528065,1,1
GMFO,"Angads",34.787149,-1.923985,1,1
GMME,"Sale",34.051468,-6.7515195,1,1
GMMN,"Casablanca Mohammed V Intl",33.36746575,-7.589964,2,2
GMMX,"Menara",31.6069195,-8.036265,1,1
GMMZ,"Ouarzazate",30.939076,-6.909475,1,1
GMTT,"Ibn Batouta",35.72691125,-5.91689975,2,1
GOOY,"Dakar Leopold Sedar Senghor Intl",14.739711,-17.49022625,2,1
GQNN,"Nouakchott",18.0977725,-15.9480305,1,1
GVAC,"Sal Amilcar Cabral Intl",16.73820825,-22.9505,2,1
HAAB,"Bole Intl",8.97789175,38.799321,2,1
HBBA,"Bujumbura Intl",-3.324018,29.318521,1,1
HDAM,"Djibouti Ambouli",11.547332,43.1594805,1,1
HEAT,"Asyut Intl",27.046508,31.011982,1,1
HEAZ,"Almaza Afb",30.092404,31.3601705,2,1
HEBA,"Borg El Arab Intl",30.9127531666667,29.6896888333333,3,1
HEBL,"Abu Simbel",22.3759515,31.611721,1,1
HECA,"Cairo Intl",30.121808,31.4060951666667,3,4
HEGN,"Hurghada Intl",27.1783085,33.799397,1,1
HELX,"Luxor Intl",25.671086,32.706403,1,1
HESH,"Sharm El Sheikh Intl",27.977318,34.39494525,2,1
HESN,"Aswan Intl",23.9643555,32.819975,1,1
HETB,"Taba Intl",29.588393,34.7775615,2,1
HHAS,"Asmara_intl",15.293046,38.9155278,5,1
HHMS,"Massawa Intl",15.670011,39.370021,1,1
HKJK,"Nairobi Jomo Kanyatta Intl",-1.31761912,36.92941014,2,1
HKMO,"Mombasa Moi Intl",-4.0307445,39.596732,2,1
HLLB,"Benina",32.09685975,20.269438,2,1
HLLS,"Sebha",26.989074,14.46622975,2,1
HLLT,"Tripoli Intl",32.6656585,13.15335625,2,1
HRYR,"Kigali Intl",-1.968628,30.13945,1,1
HSSS,"Khartoum",15.589499,32.5531595,1,2
HTDA,"Mwalimu Julius K Nyerere Intl",-6.87504775,39.20426475,2,1
HTKJ,"Kilimanjaro Intl",-3.4294555,37.074499,1,1
HUEN,"Entebbe Intl",0.04238625,32.443504,2,1
KABE,"Lehigh Valley Intl",40.65218475,-75.44047175,2,3
KABI,"Abilene Rgnl",32.4131733333333,-99.6832326666667,3,1
KABQ,"Albuquerque International Sunport",35.039646875,-106.610582,4,2
KABR,"Aberdeen Rgnl",45.448275,-98.42294025,2,1
KABY,"Southwest Georgia Rgnl",31.535407,-84.1947245,2,1
KACJ,"Souther Fld",32.1109925,-84.1889395,2,1
